id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1389368465975390208,1389368465975390208,2021-05-04 00:57:10 GMT Summer Time,2021-05-04,00:57:10,+0100,1377657927926943745,ariumcrypto,CryptoDev,,"$VIA An unusual limit order (sell) added to the order book has been detected. 2021-05-03 23:56PM | $VIA @ 0.00008 | Qty: 216,905 | Value: 17.35 BTC | 162% away from the current price! #VIA #BTC #cryptocurrency #Crypto",en,[],[],[],0,0,0,"['via', 'btc', 'cryptocurrency', 'crypto']","['via', 'via']",https://twitter.com/AriumCrypto/status/1389368465975390208,False,,0,,,,,,,,[],,,,
1389368459184820227,1389355576535273476,2021-05-04 00:57:08 GMT Summer Time,2021-05-04,00:57:08,+0100,1230570121397059584,jimmy08323668,asherman,,@bitcoinpanda69 What if ETH and other purposeful coins consolidate all crypto value and shed BTC like snake's skin,en,[],[],[],0,0,1,[],[],https://twitter.com/Jimmy08323668/status/1389368459184820227,False,,0,,,,,,,,"[{'screen_name': 'bitcoinpanda69', 'name': 'fooo', 'id': '1049567213055815680'}]",,,,
1389368428360777729,1389368428360777729,2021-05-04 00:57:01 GMT Summer Time,2021-05-04,00:57:01,+0100,1067310570695577600,trader_blitz,Crypto Blitz,,NASDAQ | $NAS100USD | $NAS100 $USD  Nasdaq Trend Analysis Update  Long or short it with BTC on Trade8:  https://t.co/WZVITImRK5  https://t.co/xBWNd7Tv9F,en,[],['http://trade8.to/trade/NAS100-USD'],['https://pbs.twimg.com/media/E0gHOQcXsAMKaXM.png'],0,0,0,[],['usd'],https://twitter.com/trader_blitz/status/1389368428360777729,False,,1,https://pbs.twimg.com/media/E0gHOQcXsAMKaXM.png,,,,,,,[],,,,
1389368422434213888,1389260985261830147,2021-05-04 00:56:59 GMT Summer Time,2021-05-04,00:56:59,+0100,1532917388,maddog0084,Mike Brown,,@howaboutmark I was responding to a comment about ETH not being able to maintain this run.  Of course it can't happen forever but BTC showed us that there is a history of 3 month + runs.  Despite people saying the exact same thing as what they are saying about ETH,en,[],[],[],2,0,2,[],[],https://twitter.com/Maddog0084/status/1389368422434213888,False,,0,,,,,,,,"[{'screen_name': 'howaboutmark', 'name': 'Mark', 'id': '1276749711693828101'}]",,,,
1389368420781760514,1389368420781760514,2021-05-04 00:56:59 GMT Summer Time,2021-05-04,00:56:59,+0100,1354730954854707200,numbstacker,Joe DipHard,,It feels like people are getting too excited about ETH and DeFi. Seems like today was peak speculative selling BTC in order to chase ETH outperformance. That’s healthy for BTC. Reversal might me around the corner.,en,[],[],[],0,0,0,[],[],https://twitter.com/numbstacker/status/1389368420781760514,False,,0,,,,,,,,[],,,,
1389368417916960769,1389368417916960769,2021-05-04 00:56:58 GMT Summer Time,2021-05-04,00:56:58,+0100,905696024504750080,investdatasyst,Investdata Fintech France,,"Volatility detected on $WNXM : Price = [00096.61300000 USDT] Diff%(t/t-1)=+00,315%  #WNXMUSDT  https://t.co/IcC9Ou3PyJ  #cryptocurrency #binance #bitcoin #crypto #blockchain #ethereum #btc #investing #trading #investment #investor #invest #eth #trader",en,[],['https://ichimoku-expert.blogspot.com'],[],0,0,0,"['wnxmusdt', 'cryptocurrency', 'binance', 'bitcoin', 'crypto', 'blockchain', 'ethereum', 'btc', 'investing', 'trading', 'investment', 'investor', 'invest', 'eth', 'trader']",['wnxm'],https://twitter.com/InvestdataSyst/status/1389368417916960769,False,,0,,,,,,,,[],,,,
1389368417099165699,1389368417099165699,2021-05-04 00:56:58 GMT Summer Time,2021-05-04,00:56:58,+0100,1097488661699006464,btcstjournal,The Bitcoin Street Journal,,Rumors On Social Media Suggest Facebook Has Purchased Bitcoin (BTC)  https://t.co/pkibOiDRxz,en,[],['https://thebitcoinstreetjournal.com/b/2k7_'],[],0,0,0,[],[],https://twitter.com/BTCstJournal/status/1389368417099165699,False,,0,,,,,,,,[],,,,
1389368393657167872,1364303804666150914,2021-05-04 00:56:52 GMT Summer Time,2021-05-04,00:56:52,+0100,1330160731866730500,andriy_zilli,Andriy Zilli,,@Shabsfazl__ @republic @flyPAL @TOIIndiaNews @USATODAY @BBC_TopGear @PhilippineStar @MailOnline @Bitcoin @Russia Be careful. This girl steals money!,en,[],[],[],0,0,0,[],[],https://twitter.com/andriy_zilli/status/1389368393657167872,False,,0,,,,,,,,"[{'screen_name': 'Shabsfazl__', 'name': 'Shabs Fazl', 'id': '1321359707169239040'}, {'screen_name': 'republic', 'name': 'Republic', 'id': '811972460560019456'}, {'screen_name': 'flyPAL', 'name': 'Philippine Airlines', 'id': '54149214'}, {'screen_name': 'TOIIndiaNews', 'name': 'TOI India', 'id': '29958928'}, {'screen_name': 'USATODAY', 'name': 'USA TODAY', 'id': '15754281'}, {'screen_name': 'BBC_TopGear', 'name': 'Top Gear', 'id': '52344859'}, {'screen_name': 'PhilippineStar', 'name': 'The Philippine Star', 'id': '472122299'}, {'screen_name': 'MailOnline', 'name': 'Daily Mail Online', 'id': '15438913'}, {'screen_name': 'Bitcoin', 'name': 'Bitcoin', 'id': '357312062'}, {'screen_name': 'Russia', 'name': 'Russia 🇷🇺', 'id': '2874959663'}]",,,,
1389368390821703683,1389368390821703683,2021-05-04 00:56:52 GMT Summer Time,2021-05-04,00:56:52,+0100,45630222,cryptotica,Cryptotica₿🔑∎,,eBay  มีความเป็นไปได้ในการรับชำระเป็นสกุลเงินดิจิทัลในอนาคต และกำลังมอง NFT บนแพลตฟอร์มของตน.... ebay NFT marketplace??? #NFT #BTC #ETH #crypto   https://t.co/dtkbdNfEEh,th,[],['https://www.reuters.com/technology/ebay-ceo-says-looking-cryptocurrency-payment-option-cnbc-2021-05-03/'],[],0,1,3,"['nft', 'btc', 'eth', 'crypto']",[],https://twitter.com/cryptotica/status/1389368390821703683,False,,0,,,,,,,,[],,,,
1389368383456649216,1389368383456649216,2021-05-04 00:56:50 GMT Summer Time,2021-05-04,00:56:50,+0100,2350448498,00monde,Takan Adam,,Önce btc terslik çıkarırdı şimdi de #eth baba salmıyor ki biz de yolumuzu bulalım #ethereum,tr,[],[],[],0,0,0,"['eth', 'ethereum']",[],https://twitter.com/00MONDE/status/1389368383456649216,False,,0,,,,,,,,[],,,,
